index,sequence
156,The state paid the talented lawyer who had made an excellent case
157,The clean parakeet that inspires the lady is locked up in the cage
158,The heavy lightning that struck a kilometer further caused a fire
159,My dog ​​just bit into the delicious cake that was for grandma
160,The corrupt banker who did good business had no conscience
161,The stuck children who alert the early passers-by are in a panic
162,The new project that costs a lot of money seems to fall into the water
163,My fried egg that had a broken yolk was delicious
165,Colleagues and bystanders comfort the frightened technician who cries
166,The thick intestines coming from the pig are filled
167,The very blunt biologist who looked very angry stooped and fell
168,He stumbled over the wallpaper roll that the clumsy wallpaper dropped
169,I hate the consultant who convinced our daughter to become a conductor
170,He who won't listen must now sit on thick blisters
171,The fast drummer who was looking for a band placed an advertisement
172,The sturdy short brush that Joris preferred was gone
173,The fruity drinks that sometimes tasted strange were served at the party
174,With crooked toes that she couldn't get straight she stood up
175,My brother Hans who confessed his many sins to the mild pastor cried
176,Grandpa Jan who is a baker always wanted to be a pilot or a fireman
177,I just ate the stale toast that didn't taste good
178,Frank became very nervous about the strange-looking pathologist who examined him
179,My girlfriend who knew the recently deceased tennis player went to the funeral
180,in that teen camp was not a single companion who was knowledgeable
181,He saved the elderly man choking on the dry rusk
182,The professor who played dominoes from the age of 30 had not won
183,The worn device that still runs pretty well must be inspected
184,Rosa who had devised the beautiful wedding had to cry with joy
185,The big brown panda that is threatened with extinction is counting on you
186,The bands that are very popular bring huge tents with them
187,The little goose that held the other person started to flutter hard
188,Ton who had discovered this beautiful paradise wanted to keep it hidden
189,I throw away the freshly made salad that ruined this spoiled tomato
190,Our heated discussion which turned out to be nothing didn't make much sense
191,The buyers of the parcel that had a fixed destination did not come
192,Cats that continuously lose tufts of hair can be deficient in vitamin
193,Fresh beet pasta that is topped with red sauce is unmissable
194,Martine who had just cleaned the shiny dresser found a golden necklace
195,Crete which has beautiful beaches is much less attractive because of mass tourism
196,Peter who had driven out the evil devil was exhausted and slept immediately
197,The witch who flew through the air on her crooked broom was ugly
198,His grandfather who usually drinks drinks has hit a tree
199,The mother's ring that contains a real diamond was stolen from home
200,The eye doctor of Anne who offers cheap glasses has also become rich
201,The nice lady gave Henk who had bought a colorful parrot a bag of seeds
202,The giant that showed the way to a little dwarf had a club
203,Patricia who had learned hard achieved a high mark for the difficult exam
204,The sweater that ended up in the new dryer didn't fit anymore
205,in Rotterdam we have accomplished wonderful things together
206,The company left for the bus in the shorter term
207,Readers have objected to this in large numbers
208,It is a dire situation that Dutch politicians hardly do anything about
209,The last few days have not been the most successful politically
210,The strict supervision of accountants is also under discussion in the Netherlands
211,These are not regional problems such as those in the Antilles
212,Not all pills and blue powders can be imported without further ado
213,You can take the complete structure out of context in this way
214,Last year these thirty files were all linked to each other
216,The action group identifies a new problem for nature in Waterland
217,in the last race the Olympic horse finished third
218,The public debate made it clear to everyone what the intention was
219,He works at that store for twelve dollars an hour
220,He gave up his own existence for his bride in India
221,Fighting groups within the church is a great name and power
222,It is a less time-consuming procedure than classic animation
223,The busy teenagers in my street cause a lot of inconvenience
224,The brown sandwich is topped with cheese and fresh ham
225,More than a thousand workers work in the modern company opposite the station
226,Anke gives the green plant some water with a watering can
227,The wine glasses are on the top shelf in the kitchen cupboard
228,The brave groomers finally reached the top of the mountain
229,The man bowed deeply for the new queen
230,The housekeeper wiped the table with a damp cloth to remove the dust
232,The businesswoman wore nice gray trousers during the show
233,De Keukenhof is visited every year by foreign tourists with expensive photo cameras
234,The car had to go to the garage for a major service and a periodic inspection
235,Kees bought a neat bunch of flowers and a box of chocolates for his wife
236,In the fairy tale the king is always sitting on his golden throne
237,The painter colored the details with a small brush of pig hair
238,Dorien went completely crazy from the dripping tap in the kitchen
239,The company is celebrating its tenth anniversary with a gigantic party
240,The sick girl had a big fever because of the flu
241,I patiently helped the difficult customer with his first order
242,At the office for simple copying they use only uncoloured paper for a better environment
243,Marco visits his own dentist every six months for a check-up
244,The florist delivered a beautiful bouquet of red roses to Lisa
245,Floor had a very scary dream about snakes last night
246,The two cars were involved in a head-on collision on the dangerous motorway
247,The owner of the modern theater accused the woman of theft
248,In order not to be recognized the robber wore a blonde wig with curls
249,The singer performed before a large audience in Ahoy
250,That farmer is still walking through the farming village on old-fashioned wooden shoes
251,Much has changed since Dorien's aunt visited here
252,In the cradle a baby with clenched pimples was sleeping comfortably
253,When playing the orchestra paid close attention to small movements of the conductor
254,after the elections the PvdA was the largest party in the Netherlands
255,Pigeons are probably making the biggest mess on the central square
256,Spain is very popular because of the favorable climate and the beautiful beaches
257,Today children only cheer for big surprises on their birthday
258,Although little dance steps were made Rose stumbled over her feet
259,The construction of the shed turned out to be quite a chore for Hans
260,The minister was curious about the total percentage of voters in Friesland
261,The girl needed braces from her new dentist until she was eighteen
262,The fiancee looks at the location for their wedding in June
263,There were many doctors in the city because of an important discussion about surgery
264,At work Peter drinks a lot of coffee with sugar
265,The collision occurred at a risky intersection just outside the city
266,The terrorist misled the police by switching cars
267,The sentry stood on the lookout for hours at the gate of a ruined castle
268,We made a big circle to sing together
269,​​Due to the stormy weather several teams are playing in a sports hall
270,Halfway through the exciting match the officers arrest a number of fighting teenagers
271,Lucrative companies spend a lot of money on advertising
272,My new neighbors take out a loan to buy a car
273,Due to the massive strikes in the slaughterhouse the current prices of meat are rising
274,When buying twelve bottles of wine the rich tourists get a bottle as a gift
275,Under the age-old oak tree in the garden the white tulips are in full bloom
276,At the opening of the new sports hall the numerous visitors were given a drink
277,During the fierce discussion the passionate lawyers ask difficult questions
278,Because of the recently obtained diploma my friends treat me to cakes
279,During the noisy discussion the members decided to continue the strike
280,To the annoyance of the strict manager the teenagers throw junk on the site
281,Due to the enormous need for ice lollies the manufacturer increases production
282,Only experienced divers jump into the pool from the high diving board
283,The horribly spoiled teenagers buy a necklace of gold
284,Both the students and the concerned teachers pray for the mortally ill rector
285,The beggar dressed in rags steals fruit from the greengrocer
286,The cheerful girls dance with each other during the pleasant fare
287,The tired partygoers rest in the park after the happy wedding
288,The countless clowns entertain the wildly enthusiastic audience with countless follies
289,The pretty drunk driver comes up with a faint excuse for the policeman
290,The cheerful waiter serves brightly colored drinks with coconuts and pineapples
291,The close friend comes up with an appropriate poem to surprise the newlywed couple
292,The dangerous robbers are not satisfied with a handful of diamonds
293,In Indian restaurants spicy meat is often served with green peppers
294,The older man reads the Sunday newspaper in the living room
295,The smart lady received a beautiful book for her birthday
296,The handsome waiter presents the running buffet on the terrace
297,Children in China sew cheap clothes for western consumers
298,He made the wise choice to go home quickly
299,Immediately an intense urge to skip school comes over me
300,of the three vocalists made the most impression
301,Such a problem has also been identified with the Dutch dikes
302,I just got back from the reopened zoo in Amsterdam
303,At that moment her own brother walked the dog
304,That small village is now also threatened by the new construction
305,Nothing good could be said about that good performance
306,The former dependent position no longer fits changed Greece
307,The unnecessary drama will only break loose in a few years
308,An important problem is the demand for more cheap raw materials
309,He couldn't name the name of the current president
310,The reduction for repairs applies only in our own company
311,They want good governance back at the upcoming congress
312,His attitude seems to have been prompted from the very beginning
313,Sometimes we have lost all faith in Dutch politics
314,Even a gross error did not cause a mental breakdown
315,The decision concerns the planned destruction of the nuclear power plant in Dodewaard
316,The better housing is enforced by the new European rules
317,When does that lax adolescent finally get his diploma
318,That little parcel was somehow the most loved
319,The tired troops in the area were expanded even further
320,in the seventies the fascinating program attracted millions of listeners
321,Many thousands of visitors from all over the world come to the pop concert
322,That beautiful message is about the new and eternal Jerusalem
323,The king and his faithful servants don't matter
324,The fraudulent broker had to close his business from the claimant
325,I like to read beautiful books in my free time
326,Because of his own confession he is convicted of the murder
327,Unfortunately the mighty director persevered with his staff
328,It was a beautiful third win over Hawaii in three years
329,We hope to see the famous drawings again soon
330,The work ethic is very different in central Bolivia than in the south
331,A few people do everything in their power to get hold of the popular booklet
333,Hence chickens are kept on their lean feet
334,The notorious perpetrators reported themselves to the police
335,But it almost went wrong on the second Tuesday
336,There will be a national administration to combat bureaucracy
337,in Japan and China is starting a slight deflation
338,After that mistake the entire team collapsed
339,The mild climate persisted until almost mid-month
341,Because of the young plants the plastic bucket is full of soil
342,The dog came running with a plastic diadem in its mouth
343,Natasha tucked the handkerchief into her new pants with ruffles
344,Violators of the law can count on a fair trial with an impartial judge
345,After a good night out the cheerful baker had quite a hangover of alcohol
346,The student did not survive on his scanty scholarship of four hundred guilders
347,After the power went out Carolien lit her cozy terrace with candles and lanterns
348,The Baroness invited a number of guests to a delicious dinner with expensive wines
349,The murderer's hands were covered with the victim's dripping blood
350,The volleyball team won first place a large cup filled with champagne
351,The female swept the floor with a very old broom made of twigs
352,In the office the woman stood at the busy counter in front of the declarations
353,Grandma's elegant packages are kept in the attic in a large oak box
354,The stage builders were very satisfied with their beautiful backdrop for the drama
355,On his sixteenth birthday the adolescent received a sturdy moped and a helmet as a gift
356,The car stopped along the highway without fuel in the tank
357,The tourists had a hard time putting up their little tent during the storm
358,The nice teacher has a very calm class this year to teach
359,Grandpa knocked the black tobacco from his pipe into the ashtray
360,The skilled dentist pulled his back tooth at Nico with the inflamed roots
361,During the flight the boy was allowed to look in the cockpit of the experienced pilot
362,At the end of the day the mobile phone goes for the transfer
363,Grandma still goes to church every Thursday for the morning mass
364,The tall boxer weighed ninety kilos clean on the hook
365,The brutal robbery was captured by a hidden camera above the entrance
366,In the middle of the station hall is a large poster with a silver frame
367,That seller's profit is very high because of his smooth chat about his products
368,The basketball players were guided from the small stand by their coach and trainer
369,Father always sits at the head of the straight table during dinner
370,The fortune teller foretold my superstitious aunt's future with a glass ball
371,The athlete was accused of using illegal doping just before the competition
372,The treasure was brought up from the seabed by three experienced divers from Germany
374,The vicious perpetrator keeps his gold reserves in a vault underground
376,For dinner our family usually eats pasta with a tasty sauce
377,Following the report the fanatic police received an anonymous tip about the perpetrator
378,Bram was able to fall through the ground after that huge blunder yesterday afternoon
379,Ivo received a severe reprimand from his boss at work for his bad advice
380,Ria often plays tennis with a friend in the evenings
381,I enjoyed sunbathing on the beautiful terrace of the house in nice weather
382,For the chic dinner Inge poured the wine into a carafe of crystal
383,After breaking the antique vase the children showed little remorse to their grandmother
384,After having worked for someone else for years Luuk started his own company in Eindhoven
385,The chairman was dismissed by the entire board for misconduct
386,The dry leaves fall into the swimming pool due to the wind
387,Despite the laborer's effort the important project was not completed
388,After the pleasant party the cheerful ladies call a taxi
389,The arrogant director hardly contacts the foreign employees
390,In the distant future people may travel by flying saucer
391,The students comment on the fascinating speech about increasing vandalism
392,Playing happily on their purple drums the students went to school
393,The guests left because the lazy servant was very rude
394,During the very heavy training the soldiers walked under ropes
395,During the first break the students often buy something tasty in the canteen
396,At the end of every school year the loyal daughters stay with their grandmother
397,With a delicious licorice in each hand the sisters walked to school
398,My sister-in-law's acquaintances live in that detached farmhouse with a spacious backyard
399,To remedy the leaks in the old church the devout pastor is looking for a plumber
400,For the most important results of the research you can consult the well-known publication
401,During the journey through the jungle the rich tourists see a group of monkeys
402,When the dirty beast is seen the mothers get completely upset
403,Our friendly neighbors are celebrating their birthday in the small room of the hotel
404,After a difficult journey through the mountains the hikers reach the campsite
405,Thanks in part to the excellent organization the young visitors come in large numbers
406,When the vicious dictator arrived the citizens shouted slogans of protest
407,in the modern drugstore most customers only pay electronically
408,The happy youngsters provide intense pleasure in their place of residence
501,went;clerk;That;Open;walked away;bartender;customer;the;annoying;the;the;then;doors
502,the;paid;laughed;drunkard;the;fell;limp;then;stool;That;to;bartender;the
503,That;the;very;punished;adolescent;unreasonable;rector;tough;the
504,That;the;;burglar;pastor;hurt;begged;the;advice;end
505,rash;assistant;the;received;the;treated;week;previous;teeth;That;brown;the
506,the;That;Monday;previous;treated;the;self;doctor;smallpox;stranger;received;smallpox;the
507,feared;the;dismissal;addict;psychiatrist;last;treated;the;received;That;to be
508,one;the;used to be;offender;the;tortuous;cop;That;ingering;fled;path;is
509,proud;from;show around;the;That;the;owners;visitors;estate;hundreds;to be
510,protected;the;That;free;bodyguard;had;a;yesterday;day;film star;broad;the
511,waiter;tomorrow;to be;the;famous;gets;offended;president;the;dismissal;That
512,pulled;the;to;doctor;plastic;bandage;the;That;gloves;dirty one;changed;first
513,mind;the;torn;a lot of;with;the;there;advises;tendons;That;from;has;sports doctor;hockey player;the
514,that;broken;consulted;the;to cry;pelvis;with;nurse;the;had to;the;grandmother
515,the;a;treated;relapse;psychologist;alcoholic;the;That;weather;known
516,op;student;Monday;laid;the;has;the;That;harasses;drawing pins;master;chair;the;again
517,has;That;Jochem;ankle;to;hurt;basketball;while;high;jumps;always
518,tough;That;the;is going;arresting;cracker;policeman;the;work;to;aggressive
519,that;far;the;is going;pelts;Women;fearful;to;striker;the
520,famous;the;interviews;know;journalist;national coach;a lot of;the;That;want
521,tuberculosis;That;sister;is;washes;to;caring;elderly;the;suffering;the
522,the;is;volunteer;the;magician;the;instructs;audience;That;unclear;enthusiastic
523,baptizes;to speak;pastor;begins;That;the;to;baby;patient;the
524,predecessor;the;likes;baptizes;firm;Shorty;her;the;That;stuck;cuddly
525,want;the;sandwich;girl;spoiled;peanut butter;Which;without;That
526,Jan;from;asked;wedding;daughter;Robert;clean one;swallowed;;the;That
527,criminals;the;state;detective;a;traces;the;from;reward;That;fat;gets
528,That;a;gets;tracking dog;drugs;the;cookie;the;illegal
529,help;to be;the;from;gets;guard;detainee;the;henchman;slow;shake off;That
530,examiner;the;impressive;today;candidate;convincing;very;last;That;the;is
531,peak;the;missed;trainer;the;That;crucial;had;drafted;training;a
532,knew;would;a lot of;That;victims;tornado;requirements;dangerous;Which;a;arose;no one
533,really;the;accurate;That;describes;thieves;employee;the;is;escaped
534,the;recommends;president;the;angry;That;is;national;cruel
535,attentive;the;six;third;signals;listener;number;the;Which
536,op;crazy;her;to buy;Mona;my;is;boys;female friend;drinks;mixed;That;in front of
537,matte;That;had;the;good;a;yesterday;resident;contractor;mood;elderly;the
538,arguing;the;with;accommodates;cats;neighbors;leave;the;Which;has;female
539,party;hired;recently;popular;the;That;young man;porter;a;gave;the;big
540,friendly;the;the;used to be;Elf;bears;strong;very;bewitched;Which
541,signs;paint;the;handsome;below;princess;That;the;sit;painter;the
542,none;has;boils;the;more;cook;citizens;sense;homeless person;in front of;dad;That
543,Nora;people;blankets;happy;warm;That;in front of;weaves;poor one
544,that;al;violent;the;killed;director;been;convicted;earlier;shooter;is;you
545,rider;That;the;used to be;winner;horses;become;stroked;lover;the;to be
546,op;cruel;the;Counselor;radio;delinquent;used to be;assisted;the;That;the
547,alert;toddlers;parents;panic;in;the;That;locked up;the
548,went;That;House;parents;relieved;daughters;fearful;liberate;the;the;to
549,frightened;tough;escapes;to be;the;in;grabs;collar;director;kidnapper;the;Joost;That
550,out;is;door;rigid;in front of;runs;anxious;boss;diplomat;the;to be;the;That
551,that;is;a;exploited;unkind;forester;man;the;supervisor;sober;the
552,scared;touch;is;to;employee;director;the;obeys;job;That;the;to be;strict;lost
553,fans;the;encourage;tense;sports heroes;bowlers;their;That;to win;want;the;Which
554,the;designed;That;spoke;has;I;Hans;crooked;yesterday;towers;with;yet
555,the;saw;helped;the;then;away;caregiver;he;wanderer;law enforcement;the;That;ran;rode
556,the;then;housed;the;That;room;homeless person;the;he;Salvation Soldier;startled;came in;sick person
557,felt;devious;the;cheated;understood;not good;grandfather;himself;That;the
558,rear;I;fixed;startled;the;the;laughed;both;cheap;landing;That;then
559,that;to;judoka;used to be;to hold;attacker;not;the;floored;foolish;the
560,cheater;the;himself;simple one;guilty;appraiser;felt;That;misled;the
561,contest;won;used;smooth;the;That;Agate;aunt;piers;my
562,people;the;nude runners;cold;Hague;the;the;to have;brothel;in;entertain;the;That
563,sells;the;very;designer;clothing;queen;creative;That;the
564,the;was standing;corridor;in;window dresser;mannequin;with it;the;took;the;plastic;That
565,sister;the;That;money;Fransien;enough;trumpet;most expensive;my;has;singles
566,hairdresser;a lot of;the;experience;trimmed;Team Leader;busy;the;has;That
567,plays;Spanish;preferably;tambourine;Joke;the;in front;the;That
568,That;the;simple;Open;waitress;farmer's wife;helpful;the;helped;door;the;decently
569,that;sold;saw;store;hip;in;the;were;glasses;I
570,stiff;is;separates;aperture;the;and;important;abdominal cavity;chest cavity;very;Which;fairly
571,farmer;not;little;That;serious;I;performs;piglet;the;take;the
572,advice;That;;hated;adolescent;boss;the;end;evil one;the;used to be
573,for;went;collect;Richard;animals;older ones;money;the;them;That;cared for
574,the;That;pain;week;received;frightened;the;switched on;fierce;previous;dentist;pathetic
575,wounded;the;That;received;past;many;switched on;month;psychic;complications;known;a
576,fierce;better;had;a;from;my;is;neighbor;psychosis;sister;the;That
577,looked;used;I;great;to;in front of;the;brother;branches;That;my;the;fire
578,That;walked;saved;to experience;the;frightened;over there;agent;tourist;the
579,that;to be;show around;the;to experience;shark;buyers;new ones;estate agents;the
580,that;a;I;barley;beer;used to be;took;made;yummy;from
581,owner;first;the;That;older ones;winked;the;from;received;visitors;brother;the
582,that;my;moving away;makes;is going;jam;aunt;blackberries;fresh;from;delicious
583,the;That;her;thief;stolen;fled;young ones;passport;new ones
584,seller;the;money;a lot of;to scare;phone;earned;modern;That;the
585,that;from;there;injury;few;orthopedist;the;treats;has;well;the
586,lawyer;male;the;a;the;letter;secretary;advises;office worker;the;gives;That
587,is coming;old;the;explains;man;tomorrow;to dream;manner;That;everyone's
588,teaches;nice one;Monday;teacher;the;That;day;a;the;student;free
589,may;lies;to lend;pajamas;closet;green;That;the;you;in;sides;my
590,beautiful;jealous;this;is;little;want;That;also;niece;pencil;my
591,people;only;wanted to;from;be allowed to;mind;dogs;to hold;to have;pitbulls;That
592,one;only;gets;tough;the;a;on;perseverance;queue;That;spot;real one;first
593,from;That;wild;the;dog;my;is;young ones;pigeons;neighbor;the;fat one
594,that;by;to happen;turns;a lot of;Greece;accidents;in;sharp;appearance;whole
595,art academy;allowed;makes;Tuesday;drawings;woman;That;the;to;gorgeous;from;the
596,looked;in;That;the;suprised;garbage can;mother;to;biscuits;Sonja;others;threw;the
597,police officer;aggressive;the;That;hard-handed;godfather;is going;work;the;arresting;to
598,naked;the;arrested;agent;had;That;the;used to be;fastest;cracker;the
599,tired;know;the;want;interviews;ballerina;the;That;reporter;a lot of
600,for;is;daughter;mother;blankets;That;no chance;additional;her;the;asks
601,waiting;the;sends away;want;to;the;not;celebrity;reporter;law enforcement;the;stand;That;word
602,sit;That;the;is;revenge;clown;terrace;sunny;from;on;the;on
603,old;no;her;That;mother;car;appropriate;sells;towbar;my
604,that;ordered;propeller;mechanic;the;by;the;used to be;new ones;red;used to be
605,charge;That;inflamed;from;has;nurse;sick person;the;takes care;pimples;the
606,that;impressed;the;reprimanded;rickety;the;teacher;boy;push button;the
608,stole;surprised;the;House;in;valuables;had;robber;neighbor;all;That;the
609,lies;kitchen counter;ball;is;brown;on;the;fresh;Which;the
610,went;more;was sitting;Marguerite;period;busy;then;holidays;on;used to be;That;the
611,scream;wanted to;the;from;the;released;That;startled;barbarian;she
612,away;my;used to be;early;nice one;That;in;fellow worker;shift;the;went
613,large;to cry;protest;had to;bite;a;vegetable;girl;without;Which;took;the
614,window;plant;the;Which;in;required;water;rare;the;had
615,just;was sitting;brought;banquet;the;in;used to be;tor;luxurious;Which;a
616,uncle;uncertain;That;my;had to;handsome;invited;blonde;the;laugh;Henk
617,not;suspect;the;old;the;received;package;opened;the;agent;That
618,people;setback;heavy;just;That;most;by;despite;everybody;the;to go
619,that;usually;teenagers;to;corridor;falls;to do;few;boisterous;to go;their;to
620,head;to;to be;men;bandana;to have;a;That;tight;cool;their
621,the;That;today;singer;brunette;very;summed up;the;biased;is;assesses
622,friendly;very;invites;suitable;the;is;florist;applicant;yet;the;That
623,not;runs;cougar;Veluwe;the;is;the;on;dangerous;tame;That
624,that;wanted to;the;scare;dog;young ones;the;very;to pet;puppy;left;Vera
625,wrong;went;was standing;page;previous;That;sense;duck hunting;the;on;a;about
626,despite;worked;typist;the;her;blind person;answer;That;the;knew;physical disability
627,That;left;the;strong;see;there;Results;to;not;trend;a
628,hefty;to;a;watched;pulled;That;the;angry;mother;pout;toddler
629,that;Tiger;target;forest;chosen;walked;the;had;new ones;in;the;the
630,choreographer;reason;he;the;That;heard;dancer;startled;scolded;the;then;the;slow
631,man;the;removed;arrested;huge;below;the;became;law enforcement;protest;That
632,that;board;bonus;became;the;to;observed;handed out;the;big one;became
633,killed;missing;the;had;pupil;became;That;heard;dean;the
634,That;the;critical;in;used to be;became;Hospital;status;the;woman;pregnant;in
635,cruel;in despair;poet;the;reader;the;fears;to forget;That;is
636,from;saint;the;died;Delhi;is;built;Temple;patron;the;That
